word,core_level,advanced_level
amplified,b2,b2
amplifier,b2,b2
amplify,b2,b2
amplitude,b2,b2
amply,b1,b1
ampoule,b2,b2
ampule,b2,b2
ampulla,c2,c2
amputate,b2,b2
amputated,b2,b2
amputation,b2,b2
amputee,b2,b2
amulet,b1,b1
amuse,a2,a2
amused,a2,a2
amusement,a2,a2
amusing,a2,b2
amusingly,b1,b1
amygdala,c1,c1
amyloid,c1,c1
amyloidosis,c2,c2
amyotrophic,c1,c1
anabaptist,c1,c1
anabolic,b2,b2
anachronism,b2,b2
anachronistic,b2,b2
anachronistically,c1,c1
anaclitic,c2,c2
anadromous,c1,c1
anaemia,b2,b2
anaemic,b2,b2
anaerobic,b2,b2
anaesthesia,b2,b2
anaesthetic,b2,b2
anagnorisis,c2,c2
anagogic,c2,c2
anagram,a2,a2
anal,b2,b2
analgesia,b2,b2
analgesic,b2,b2
analog,b1,b1
analogical,b2,b2
analogize,b2,b2
analogous,b2,b2
analogously,c1,c1
analogue,b1,b1
analogy,b2,c1
analysand,c2,c2
analyse,a2,b1
analysis,a2,b1
analyst,a2,b2
analyte,c1,c1
analytic,b2,b2
analytical,b2,b2
analytically,c1,c1
analytics,b2,b2
analyze,b1,b1
analyzed,b1,b1
analyzer,b2,b2
anamorphic,c1,c1
anaphora,c1,c1
anaphylactic,c1,c1
anarchic,b2,b2
anarchical,b2,b2
anarchism,b2,b2
anarchist,b2,b2
anarchistic,b2,b2
anarchy,b2,b2
anasazi,c1,c1
anastomosis,c1,c1
anathema,b2,b2
anatolian,c1,c1
anatomic,b2,b2
anatomical,b2,b2
anatomically,c1,c1
anatomist,b2,b2
anatomy,b2,b2
ancestor,a2,b2
ancestral,b2,b2
ancestress,c1,c1
ancestry,b2,b2
ancho,a2,a2
anchor,b2,c1
anchored,b1,b1
anchoring,b2,b2
anchorman,b1,b1
anchorwoman,b1,b1
anchovy,a2,a2
ancient,a2,a2
ancillary,b2,b2
and,a1,a1
andalusian,c1,c1
andante,c1,c1
andean,c1,c1
andiron,c1,c1
andouille,c2,c2
androcentric,c1,c1
androgen,c1,c1
androgenetic,c2,c2
androgynous,b2,b2
androgyny,b2,b2
android,a2,a2
androstenedione,c2,c2
anecdotal,b2,b2
anecdote,b1,b1
anemia,b2,b2
anemic,b2,b2
anemometer,b2,b2
anemone,b1,b1
anencephalic,c2,c2
anencephaly,c2,c2
anesthesia,b2,b2
anesthesiologist,c1,c1
anesthesiology,c1,c1
anesthetic,b2,b2
anesthetist,c1,c1
anesthetize,c1,c1
anesthetized,c1,c1
aneurism,b2,b2
aneurysm,b2,b2
anew,a2,a2
angel,b2,c1
angelfish,a2,a2
angelic,a2,a2
anger,a2,b2
angered,a2,a2
angina,b2,b2
angiogenesis,c1,c1
angiogram,c1,c1
angiography,c1,c1
angioplasty,c1,c1
angiosarcoma,c2,c2
angiosperm,c1,c1
